,title,date,content
0,강아지가 너무 저만 좋아해서 난감해요..,5일 전,저는 재택근무라 24시간 집에 있고 신랑은 저녁에 퇴근하고 강아지랑 놀아줘요. 일단 주보호자는 저예요.... 무슨 왕따시키는것도 아니고 말이에요..ㅠㅠ 강아지가 이럴때마다 신랑이 너무 서운해해서 괜히 눈치보게 돼요.....
1,저는 강아지를 방치하고있는 견주입니다.,4일 전,"생각해서 강아지의 인생은 신경도 안쓰고 강사모에서 둥둥이를 입양하게 되었습니다. 너무나도 사랑을 많이... 할머니간호, 강아지케어에 제 몸이 너무 지치고 힘들었습니다. 거기다가 아버지가 형제분과 사업을 하시는데..."
2,수원동물병원 강아지 유선종양 수술 받았어요~,7시간 전,"증상에 대해 검색해보니 강아지 유선종양과 비슷해서 전문적인 치료를 받을 수 있는 곳을 알아보다가... 수원동물병원 썬의 경우 수술경력 1,000회 이상, 그리고 강아지 유선종양 수술 경력만 300회 이상이신 원장님께서 직접..."
3,강아지사료 닥터독 시니어 건강하개!,2021.08.23.,"오랜만에 소개할 제품은 닥터독 #강아지사료 시니어입니다. 쿤이도 한때는 이 사료 저 사료 바꿔가며... 그래서 사료를 자주 갈아치우던 녀석이었는데, 기적적으로 정착한 게 바로 #닥터독 강아지사료였어요. 특히..."
4,간종양 때문에 죽다 살아난 10살 강아지,2021.07.29.,죽어가던 10살 노령견 강아지가 다시 살아날 수 있었던 이유 24시 우리들동물메디컬센터 강아지가 보인 증상 강아지가 발작을 일으켰어요. 갑자기 발작을 하며 거품을 물기 시작했어요. 새벽쯤부터 평소와는 다른...
5,"강아지 간식, 영양만점 스낵마켓 보양식 냠냠",2021.08.07.,"소개해드릴 강아지 간식은 뼈, 연골, 힘줄을 포함한 100프로 고기이기 때문에 생고기의 영양을 그대로 먹일 수... 듬~뿍 강아지 보양식 이라고 하는데요 처음 먹여보는거라 기호성도 테스트해볼겸 4종을 모두..."
6,[반려상식] 강아지 질투와 대처법,3일 전,오늘은 강아지 질투에 대해 알아보려고 해요! 사무실에 대리님의 강아지 모모가 출근한 뒤로 필성이 질투가 쪼금 늘어난 것 같아서 자세하게 알아보기 위해 공부를 했습니다! 그럼 같이 알아볼까요? GO GO~ 강아지 질투...
7,밥안먹는강아지 고민해결해주는 보나펫티,2021.08.23.,밥안먹는강아지 고민해결해주는 보나펫티 한동안 여름이라 날씨가 더워서 그런건지 요즘 댕댕이가 입맛을 잃고 식욕이 확~줄었더라고요. 식사를 제대로 하지 못하게 되면 사람도 버티기 힘든데 댕댕이 같은 강아지들은...
8,강아지 사료 급여량 체급별로 알아보아요,5일 전,거기다 키우게 된 지 고작 2년 좀 넘어서 그런지 그동안 확실히 강아지 사료 급여량도 신경 쓰지 않고 챙겨주어서 괜히 미안하더라고요. 그래서 오늘 이 시간에는 강아지 사료 급여량도 알아보고 제가 바꿔본 다이제스티브...
9,강아지 유모차 사려고 하는데,3일 전,첫째 강아지가 나이가 점점 들어서인지 산책할때 걸음이 느려졌더라구요 둘째 강아지는 아직 젊어서 그런지 날아다니구요 그래서 산책할때 두 아이가 속도차이가 나니 두 아이 같이 산책 시키지 못하겠더라구요 그래서...
10,강아지 목욕 후 털 말리기의 중요성,2021.07.21.,"<이런 이야기는 어떠세요?>강아지 털, 고민 많으시죠?강아지 털로 보는 건강상태 확인하기고양이랑 다른가? 개가 털을 토하는 경우따뜻한 실내 생활은 털 관리에 좋지 않다?휑하니 비어버린 털..? 강아지 탈모 원인 5가지..."
11,강아지 평균 수명 나이 계산하는방법 알아봐요,2021.08.20.,강아지 평균 수명 나이 계산 하는방법 알아봐요 내 강아지의 수명은 얼마나 될까? 이건 모든 견주의 궁금증이기도 하지만 한편으로는 강아지 평균 수명이 왜 이렇게 짧아? 라고 아쉬워 하는 부분도 있는게 사실인데요...
12,"강아지 사료 성분표, 간단하게 알아보자!",3일 전,"강아지 사료 선택 시 성분표를 봐야 한다는 말을 들어본 적이 있을 거예요. 어떤 걸 먹이느냐에 따라 강아지 건강, 수명에 영향이 가기 때문이죠. 하지만, 어떤 게 좋은 사료인 건지 단순히 숫자만 봐서는 알기..."
13,강아지 옥수수 먹어도 되나요?주의점 체크!,4일 전,안타깝게도 강아지가 먹어도 되는 음식과 그렇지 못한 음식이 분명히 나눠져 있기때문에 사람의 입맛에 맞고... 반드시 강아지 전용으로 나온 간식을 제외하고 다른것들을 먹일때는 주의사항을 알아두시는게 좋을것 같아요...
14,강아지 자궁축농증 증상 나타난다면,어제,"강아지와의 추억이 쌓이고, 함께 보내는 시간이 길어지면 아이의 몸 상태가 예전과 같지 않다는 사실을 알게... 이렇게 강아지의 면역력이 급격하게 저하되면 여러 질환에 노출될까 걱정되기도 해요. 특히 암컷의 경우에는..."
15,사람들은 강아지 교육 어디서받나요?,어제,어릴때 친정에서 강아지 키우다가 6개월만에 강아지가 제눈앞에서 죽어서 ( 갑자기 거품물고 죽었어요.ㅜㅜ) 그 트라우마로 강아지를 무서워합니다. 그냥 저랑 있으면 강아지가 죽을것같은 공포?가 생겼죠.. 어른이 되어...
16,강아지곰팡이성 피부염 강아지피부병 원인 증상 치료방법,2021.07.23.,강아지의 피부병을 발견하기란 쉽지 않은 일입니다.온몸이 털로 뒤덮인 아이들의 피부를 일일히 뒤지지 않는이상 찾아낼수 없기 때문이죠. 강아지곰팡이성 피부염 하지만 피부병은 시간이 지나면 지날수록 그 증상이 더...
17,"강아지 방광결석, 혈뇨",어제,"오늘은 강아지 혈뇨, 강아지 방광결석, 수술에 대한 포스팅입니다. 12살의 강아지 율이(가명)는 혈뇨 증상으로 본원에 내원하게 되었습니다. 기존에도 방광결석을 수술했던 이력이 있던 아이였기 때문에, 방광결석 재발을..."
18,강아지 입원,4일 전,14살된 울 강아지 한달전부터 건강했던강아지가 갑자기 한쪽눈이 백내장이 급격히 진행되고 털이 빠지고 그리고 그저께는 갑자기 폐렴으로 입원했어요 항상 같이 팔베게 해주고 자다가 없으니 허전하네요 물론 정기검진...
19,강아지 고글 안충 예방방법이에요!,1시간 전,그래서 강아지 안충의 원인인 초파리가 많이 있답니다 ㅠㅠ 심지어 사람 눈에도 알짱거리며 들어가려고 해서 손으로 쫓으며 걸어가야 할 정도;; 저는 두 손이 있으니 쫓을 수 있는데 강아지는 그럴 수 없잖아요. 그래서 더...
20,강아지 마운팅 하는 이유 5가지? - 황철호,4일 전,강아지를 키우시는 분들이라면 한 번쯤 보셨을 행동인 마운팅행위 보기에는 참 민망한 행위입니다. 안녕하세요 두리틀동물병원 황철호원장입니다. 강아지 마운팅 행동은 인형이나 다른 강아지 등에 올라타서 교미...
21,똥먹는강아지(미치겟어요),2021.08.22.,안녕하세요 7개월비숑키우고있습니다 몇번의글로 저희강아지가 똥을먹는걸로 자문을구하고자... 뼈를많이먹음 똥에서 뼈가섞여나와맛이없을것이다 바로 닭뼈채간 강아지생식이있길래주문하여 사료와섞어 먹인지 2주일.....
