,상호명,지점명,시도명,시군구명,도로명주소
3226,스타벅스강릉안목항점,강릉안목항점,강원도,강릉시,강원도 강릉시 창해로14번길 40
5584,스타벅스,대명델피노리조트점,강원도,고성군,강원도 고성군 토성면 미시령옛길 1153
7827,스타벅스춘천후평DT점,춘천후평DT점,강원도,춘천시,강원도 춘천시 후석로 318
9325,스타벅스,춘천명동점,강원도,춘천시,강원도 춘천시 중앙로 55
10764,스타벅스설악워터피아점,설악워터피아점,강원도,속초시,강원도 속초시 미시령로2983번길 88
11622,스타벅스,원주터미널점,강원도,원주시,강원도 원주시 서원대로 178
16118,스타벅스,춘천온의점,강원도,춘천시,강원도 춘천시 방송길 104
18601,스타벅스,춘천구봉산R점,강원도,춘천시,강원도 춘천시 동면 순환대로 1154-63
20254,스타벅스,속초DT점,강원도,속초시,강원도 속초시 동해대로 4114
21255,스타벅스,원주반곡DT점,강원도,원주시,강원도 원주시 동부순환로 37
21659,스타벅스,강릉송정DT점,강원도,강릉시,강원도 강릉시 경강로 2400
23140,스타벅스,원주단구점,강원도,원주시,강원도 원주시 서원대로 402
30174,스타벅스,휘닉스파크점,강원도,평창군,강원도 평창군 봉평면 태기로 174
30244,스타벅스,,강원도,태백시,강원도 태백시 장성시장1길 6
30345,스타벅스,용평리조트점,강원도,평창군,강원도 평창군 대관령면 올림픽로 715
30366,스타벅스,,강원도,인제군,강원도 인제군 기린면 내린천로 4044
30406,스타벅스,,강원도,원주시,강원도 원주시 부론면 법천시장길 39
31595,스타벅스,원주무실점,강원도,원주시,강원도 원주시 능라동길 73
36348,스타벅스춘천석사DT점,춘천석사DT점,강원도,춘천시,강원도 춘천시 후석로 13
39373,스타벅스,,강원도,평창군,강원도 평창군 진부면 청송로 113
47528,스타벅스,춘천이마트점,강원도,춘천시,강원도 춘천시 경춘로 2341
51325,스타벅스,,강원도,원주시,강원도 원주시 혁신로 61
58984,스타벅스,춘천후평DT점,강원도,춘천시,강원도 춘천시 후석로 316
60488,스타벅스,강릉중앙로점,강원도,강릉시,강원도 강릉시 경강로 2096
62653,스타벅스,동해DT점,강원도,동해시,강원도 동해시 중앙로 219
64137,스타벅스,,강원도,인제군,강원도 인제군 기린면 기린로42번길 3-1
65827,스타벅스,오션월드2호점,강원도,홍천군,강원도 홍천군 서면 한치골길 262
66225,스타벅스,춘천석사DT점,강원도,춘천시,강원도 춘천시 후석로 13
66919,스타벅스커피원주혁신도시,,강원도,원주시,강원도 원주시 혁신로 55
68750,스타벅스,원주명륜DT점,강원도,원주시,강원도 원주시 남원로 588
86351,스타벅스,춘천퇴계DT점,강원도,춘천시,강원도 춘천시 안마산로 95
90073,스타벅스,설악쏘라노점,강원도,속초시,강원도 속초시 미시령로2983번길 111
93707,스타벅스,강대점,강원도,춘천시,강원도 춘천시 서부대성로 243-1
95163,스타벅스,,강원도,강릉시,강원도 강릉시 경강로 2194-1
95205,스타벅스,속초중앙로점,강원도,속초시,강원도 속초시 중앙로 123
96434,스타벅스,비발디파크점,강원도,홍천군,강원도 홍천군 서면 한치골길 264
97205,스타벅스,강릉강문해변점,강원도,강릉시,강원도 강릉시 창해로350번길 3
100558,스타벅스,,강원도,횡성군,강원도 횡성군 횡성읍 화성로 5
101616,스타벅스,,강원도,고성군,강원도 고성군 간성읍 간성로 36
102010,스타벅스,춘천퇴계DT점,강원도,춘천시,강원도 춘천시 상마을1길 24
5241,스타벅스,서현역점,경기도,성남시 분당구,경기도 성남시 분당구 서현로210번길 20
10864,스타벅스커피분당서울대병원4층,,경기도,성남시 분당구,경기도 성남시 분당구 구미로173번길 82
13699,스타벅스판교하이펙스,,경기도,성남시 분당구,경기도 성남시 분당구 판교역로 240
14980,스타벅스,용인기흥구청점,경기도,용인시 기흥구,경기도 용인시 기흥구 구갈로 71-18
15320,스타벅스,야탑점,경기도,성남시 분당구,경기도 성남시 분당구 성남대로926번길 6
20846,스타벅스,,경기도,화성시,경기도 화성시 정남면 발안로 1137
22784,스타벅스,수원인계점,경기도,수원시 팔달구,경기도 수원시 팔달구 권광로 199
23259,스타벅스,백석점,경기도,고양시 일산동구,경기도 고양시 일산동구 중앙로 1059
25306,스타벅스정자아데나점,정자아데나점,경기도,성남시 분당구,경기도 성남시 분당구 성남대로 275
25875,스타벅스김포이마트점,김포이마트점,경기도,김포시,경기도 김포시 김포한강7로 71
28508,스타벅스,수원트레이더스점,경기도,수원시,경기도 수원시 영통구 삼성로 2
28894,스타벅스,파주금촌역점,경기도,파주시,경기도 파주시 문화로 109
29807,스타벅스커피마장휴게소,,경기도,이천시,경기도 이천시 마장면 중부고속도로 82
32437,스타벅스,뉴코아야탑점,경기도,성남시 분당구,경기도 성남시 분당구 야탑로81번길 11
32927,스타벅스,착한빵,경기도,광명시,경기도 광명시 시청로 49
41163,스타벅스,동탄점,경기도,화성시,경기도 화성시 메타폴리스로 54
41642,스타벅스,현대중동점,경기도,부천시,경기도 부천시 길주로 180
42005,스타벅스,안산중앙역점,경기도,안산시,경기도 안산시 단원구 중앙대로 907
42610,스타벅스,수내로점,경기도,성남시 분당구,경기도 성남시 분당구 수내로46번길 12
43112,스타벅스,파주프리미엄점,경기도,파주시,경기도 파주시 탄현면 필승로 200
43126,스타벅스,대화역점,경기도,고양시 일산서구,경기도 고양시 일산서구 중앙로 1559
44216,스타벅스,수원경희대점,경기도,수원시 영통구,경기도 수원시 영통구 덕영대로 1695
44397,스타벅스,안산한양대점,경기도,안산시,경기도 안산시 상록구 성안길 82-3
